No;Provinsi;Jumlah Penduduk;Total Kasus;Persentase Penduduk Merokok  ;Indeks Kualitas Udara;Tahun
1;Aceh;5483702;7565;28,3;89,63;2021
28;Bali;4399929;3310;19,58;89,55;2021
11;Banten;13217890;26220;31,76;89,66;2021
9;Bengkulu;2028657;2031;33,17;89,58;2021
15;DI Yogyakarta;3899219;3488;24,54;90,71;2021
12;DKI Jakarta;10691409;32477;24,44;88,84;2021
23;Gorontalo;1224895;3006;30,5;89,98;2021
6;Jambi;3693933;3975;27,47;86,35;2021
13;Jawa Barat;50153631;103253;32,68;86,44;2021
14;Jawa Tengah;35092453;47430;28,24;86,2;2021
16;Jawa Timur;40060234;47398;28,53;86,06;2021
17;Kalimantan Barat;5157153;8067;27,93;88,58;2021
19;Kalimantan Selatan;4322749;4610;24,51;88,69;2021
18;Kalimantan Tengah;2781232;3193;29,33;88,55;2021
20;Kalimantan Timur;3809694;5873;23,37;89,21;2021
21;Kalimantan Utara;771856;1050;27,46;88,67;2021
8;Kepulauan Bangka Belitung;1524208;1602;28,16;90,23;2021
5;Kepulauan Riau;2251976;4263;26,17;90,23;2021
10;Lampung;8558362;12485;34,07;90,01;2021
31;Maluku;1839869;3307;27,9;88,51;2021
32;Maluku Utara;1284341;1991;29,84;88,86;2021
29;Nusa Tenggara Barat;5147975;6280;32,71;88,71;2021
30;Nusa Tenggara Timur;5565560;5799;27,22;88,99;2021
33;Papua;3450412;10156;24,91;89,11;2021
34;Papua Barat;986104;2246;27,07;89,77;2021
4;Riau;7159392;9878;28,34;89,5;2021
26;Sulawesi Barat;1411139;2255;27,17;89,7;2021
25;Sulawesi Selatan;8966939;17847;24,91;91,31;2021
24;Sulawesi Tengah;3110482;4200;29,77;89,6;2021
27;Sulawesi Tenggara;2767606;4336;25,85;88,71;2021
22;Sulawesi Utara;2539822;6095;27,87;90,57;2021
3;Sumatera Barat;5522731;9028;30,5;90,27;2021
7;Sumatera Selatan;8605288;14865;30,65;90,63;2021
2;Sumatera Utara;14767655;23656;27,24;93,43;2021
1;Aceh;5536285;12286;27,58;90,62;2022
28;Bali;4442120;4530;17,91;89,19;2022
11;Banten;13344636;42429;31,21;73,97;2022
9;Bengkulu;2048110;3523;32,16;91,27;2022
15;DI Yogyakarta;3936609;6206;23,97;89,16;2022
12;DKI Jakarta;10793930;54025;21,25;68,06;2022
23;Gorontalo;1236640;4786;30,38;94,47;2022
6;Jambi;3729355;6048;28,62;89,85;2022
13;Jawa Barat;50634556;184406;32,07;80,31;2022
14;Jawa Tengah;35428956;77426;28,72;85,14;2022
16;Jawa Timur;40444373;78334;28,51;84,28;2022
17;Kalimantan Barat;5206605;12899;26,64;90,9;2022
19;Kalimantan Selatan;4364200;8566;21,89;89,52;2022
18;Kalimantan Tengah;2807902;4835;26,54;91,25;2022
20;Kalimantan Timur;3846225;9190;22,21;87,59;2022
21;Kalimantan Utara;779258;1738;24,23;94,52;2022
8;Kepulauan Bangka Belitung;1538824;2834;26,84;89,75;2022
5;Kepulauan Riau;2273571;5825;23,08;90,27;2022
10;Lampung;8640429;18511;33,81;87,32;2022
31;Maluku;1857511;4787;26,8;91,46;2022
32;Maluku Utara;1296656;3208;28,82;92,74;2022
29;Nusa Tenggara Barat;5197339;9644;33,2;89,3;2022
30;Nusa Tenggara Timur;5618929;8802;26,76;91,52;2022
33;Papua;3483498;15822;22,22;95,32;2022
34;Papua Barat;995560;3393;24,8;95,79;2022
4;Riau;7228044;13654;26,86;90,69;2022
26;Sulawesi Barat;1424671;2936;25,36;91,88;2022
25;Sulawesi Selatan;9052924;24209;23,76;90,35;2022
24;Sulawesi Tengah;3140309;6970;29,04;91,86;2022
27;Sulawesi Tenggara;2794145;6192;23,35;92,05;2022
22;Sulawesi Utara;2564177;8784;25,29;92,41;2022
3;Sumatera Barat;5575689;14844;30,27;90,65;2022
7;Sumatera Selatan;8687805;21610;30,49;89,1;2022
2;Sumatera Utara;14909262;41057;25,32;89,69;2022
1;Aceh;5536285;13057;28,66;90,94;2023
28;Bali;4423188;11556;18,9;88,99;2023
11;Banten;11494985;22767;29,34;66,67;2023
9;Bengkulu;2109699;4529;31,86;92,49;2023
15;DI Yogyakarta;3993800;10266;24,82;89,01;2023
12;DKI Jakarta;11101341;27704;22,6;68,46;2023
23;Gorontalo;1239032;3318;30,69;94,43;2023
6;Jambi;3729355;7456;28,67;90,57;2023
